Institute,Academic Program Name,Quota,Seat Type,Gender,Opening_R1,Closing_R1,Opening_R2,Closing_R2,Opening_R3,Closing_R3,Opening_R4,Closing_R4,Opening_R5,Closing_R5,Opening_R6,Closing_R6
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099,3099
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),11992,11992,12197,12197,12197,12197,12197,12197,12197,12197,16085,16085
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,11350,13347,13347,13772,13347,13772,13347,13772,13347,13772,13347,14298
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,4594,4841,4594,5440,4594,5440,4594,5440,4594,5792,4594,5792
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,7841,8126,8637,9212,8834,9513,8834,9513,8834,9513,10084,10088
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),17591,17591,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,15405,17790,18383,20009,18789,21809,18789,21849,18789,21979,20596,22756
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),57126,57126,57628,57628,57628,57628,57628,57628,57628,57628,64485,64485
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,29871,50710,47997,59214,47997,60376,47997,60376,47997,60499,47997,67237
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,2475,2475,3972,3972,3972,3972,3972,3972,3972,3972,,
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,8086,9425,10055,11017,11066,11466,11066,11466,11066,11558,11066,11619
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,3645,3962,3645,4717,3645,4717,3645,4717,3645,4717,3645,4717
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,16299,17225,16299,17736,17225,18065,17225,18065,17225,18065,21035,23746
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),70503,70503,70503,70503,73828,73828,73828,73828,73828,73828,73828,73828
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,47586,54835,57334,69245,60326,74823,60326,75620,60326,77667,71149,81167
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-only (including Supernumerary),89120,89120,110055,110055,110055,110055,110055,110055,110055,110055,110055,110055
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,79517,92405,79517,95560,79517,101205,79517,106666,79517,114043,79517,128531
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN (PwD),Gender-Neutral,3211,3211,,,,,,,,,,
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),13772,13772,14723,14723,14723,14723,14723,14723,14723,14723,17977,17977
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,13154,14268,13475,14795,13475,14851,13475,14910,13475,14910,14851,18203
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,5440,5877,5792,6010,5792,6010,5792,6010,5877,6112,5877,6595
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1938,1938,2137,2137,2137,2137,2137,2137,2137,2137,2137,2137
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1014,1053,1124,1299,1124,1299,1124,1299,1124,1331,1299,1448
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4902,6583,4902,6583,4902,6583,4902,6583,4902,6583,4902,6583
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2538,3233,2538,3300,2538,3300,2538,3300,2583,3311,2583,3413
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,229,229,229,229,229,229,229,229,229,229,229,229
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),9323,14651,9323,14827,9323,15090,9323,15090,9323,15090,9323,15152
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5514,7835,5514,8554,6450,8646,6450,8646,6450,8728,6450,9527
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),481,481,481,481,481,481,481,481,481,481,481,481
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,129,129,129,129,129,129,129,129,129,129,129,129
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2999,3715,3484,4039,3484,4039,3484,4039,3484,4039,3484,4039
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1520,1905,1520,2003,1520,2003,1520,2003,1520,2003,1520,2092
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,97,97,97,97,97,97,97,97,97,97,97,97
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),613,613,613,613,613,613,613,613,613,613,613,613
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,660,933,660,933,660,933,660,933,660,933,660,933
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST (PwD),Gender-Neutral,84,84,84,84,84,84,84,84,84,84,84,84
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),4509,4509,4546,4546,4546,4546,4546,4546,4546,4546,4546,4546
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2038,2155,2155,2203,2336,2491,2336,2491,2336,2491,2336,2573
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),12961,13366,13108,14184,13900,14415,13900,14415,13900,14415,13900,14415
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4044,5946,4044,6241,4044,6241,4044,6241,5258,6325,5258,6392
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,639,639,639,639,639,639,639,639,639,639,639,639
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),20940,24824,21192,27081,21192,27081,21192,27081,21192,27081,21192,27081
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,10908,15482,10908,16277,11784,16320,11784,16320,11784,16586,13804,17366
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,748,748,748,748,748,748,748,748,748,748,748,748
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4099,5994,5994,7115,5994,7115,5994,7115,7115,7939,7939,7972
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,3088,3855,3088,4070,3088,4070,3088,4070,3088,4070,3088,4070
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),3010,3010,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1636,1749,1636,1811,1636,1811,1636,1811,1636,1811,1636,1811
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,EWS,Female-only (including Supernumerary),3133,3133,3133,3133,3133,3133,3133,3133,3133,3133,3537,3537
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,EWS,Gender-Neutral,1620,1777,1699,1866,1699,1866,1699,1866,1699,1866,1777,1887
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL,Female-only (including Supernumerary),9391,9676,9391,10183,9391,10183,9391,10183,9391,10183,9391,10183
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL,Gender-Neutral,3300,5055,4150,5245,4150,5245,4150,5245,4150,5257,4150,5314
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL (PwD),Gender-Neutral,300,300,345,345,345,345,345,345,345,345,345,345
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN,Female-only (including Supernumerary),17025,19657,17025,20642,17025,20642,17025,20642,17025,20642,17025,20921
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN,Gender-Neutral,9345,12276,9345,12506,9345,12506,9345,12506,9345,12513,9345,13473
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN (PwD),Female-only (including Supernumerary),604,604,604,604,604,604,604,604,604,604,604,604
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN (PwD),Gender-Neutral,371,371,371,371,371,371,371,371,371,371,371,371
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,SC,Female-only (including Supernumerary),4312,5372,4312,6422,4312,6422,4312,6422,4312,6422,4312,6422
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,SC,Gender-Neutral,2435,3511,2435,3654,2435,3654,2435,3654,2435,3657,2435,3704
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,ST,Female-only (including Supernumerary),3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,ST,Gender-Neutral,1364,1594,1364,1594,1364,1594,1364,1594,1364,1594,1364,1594
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,EWS,Female-only (including Supernumerary),3866,3866,3997,3997,3997,3997,3997,3997,3997,3997,3997,3997
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,EWS,Gender-Neutral,2057,2063,2057,2063,2057,2063,2057,2063,2057,2063,2075,2164
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OBC-NCL,Female-only (including Supernumerary),9756,10281,10281,10675,10281,10675,10281,10675,10281,10675,10281,10675
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OBC-NCL,Gender-Neutral,4996,5745,5151,6033,5370,6039,5370,6039,5370,6062,5370,6146
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OBC-NCL (PwD),Female-only (including Supernumerary),1091,1091,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464
