exam_type,year,college_code,college_name,course_code,course_name,category,total_seats,category_seats,tuition_fee,other_fee,total_fee,closing_rank_mock,closing_rank_r1,closing_rank_r2,closing_rank_r3,closing_rank_r4
COMEDK,2025,E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",CO,Computer Science & Engineering (IOT),GM,18,15,200000,20000,220000,106469,106469,,,
COMEDK,2025,E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",CO,Computer Science & Engineering (IOT),KKR,18,3,200000,20000,220000,,,,,
COMEDK,2025,E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",CS,Computer Science & Engineering,GM,72,59,200000,20000,220000,,72063,,104746,
COMEDK,2025,E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",CS,Computer Science & Engineering,KKR,72,13,200000,20000,220000,,84428,,,
COMEDK,2025,E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",CY,Computer Science & Engineering (Cyber Security),GM,18,15,200000,20000,220000,98149,111502,,98461,
COMEDK,2025,E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",CY,Computer Science & Engineering (Cyber Security),KKR,18,3,200000,20000,220000,,,,,
COMEDK,2025,E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",EC,Electronics & Communication Engineering,GM,18,15,200000,20000,220000,110471,104372,,,
COMEDK,2025,E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",EC,Electronics & Communication Engineering,KKR,18,3,200000,20000,220000,,,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",AI,Artificial Intelligence & Machine Learning,GM,18,16,200000,20000,220000,83793,84307,,106484,62788
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",AI,Artificial Intelligence & Machine Learning,KKR,18,2,200000,20000,220000,,,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",CD,Computer Science & Engineering (Data Science),GM,18,16,200000,20000,220000,,107613,,86772,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",CD,Computer Science & Engineering (Data Science),KKR,18,2,200000,20000,220000,,,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",CS,Computer Science & Engineering,GM,36,33,200000,20000,220000,,99949,,59442,96642
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",CS,Computer Science & Engineering,KKR,36,3,200000,20000,220000,,,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",CV,Civil Engineering,GM,18,16,200000,20000,220000,,,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",CV,Civil Engineering,KKR,18,2,200000,20000,220000,,,,,
COMEDK,2025,E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",EC,Electronics & Communication Engineering,GM,36,33,200000,20000,220000,110191,110191,,,
